date,max,min,rain,snow,avg_max,avg_min
2017.01.29.,-5,-11,0,0,3,-3
2017.01.30.,-6,-11,0,0,3,-3
2017.01.31.,-1,-8,4,0.1,3,-3
2017.02.01.,2,-3,18,0.1,3,-3
2017.02.02.,5,1,0,0,3,-3
2017.02.03.,13,1,0,0,3,-3
2017.02.04.,14,2,3,0,3,-3
2017.02.05.,10,1,4,0,3,-3
2017.02.06.,6,3,6,0,3,-3
2017.02.07.,3,1,2,0,3,-3
2017.02.08.,1,-1,0,0,4,-3
2017.02.09.,2,-1,0,0,4,-3
2017.02.10.,2,-2,0,0,4,-3
2017.02.11.,4,-4,0,0,4,-3
2017.02.12.,3,-5,0,0,4,-3
2017.02.13.,3,-4,0,0,4,-3
2017.02.14.,-2,-4,0,0,4,-2
2017.02.15.,-1,-4,0,0,4,-2
2017.02.16.,-2,-3,0,0,4,-2
2017.02.17.,-1,-3,0,0,5,-2
2017.02.18.,6,-4,0,0,5,-2
2017.02.19.,6,-1,0,0,5,-2
2017.02.20.,6,0,0,0,6,-2
2017.02.21.,10,1,0,0,6,-2
2017.02.22.,12,2,0,0,6,-1
2017.02.23.,15,6,0,0,6,-1
2017.02.24.,12,6,0,0,6,-1
2017.02.25.,8,-2,0,0,7,-1
2017.02.26.,9,-3,0,0,7,-1
2017.02.27.,14,0,0,0,7,-1
2017.02.28.,17,8,0,0,7,-1
2017.03.01.,11,2,5,0,7,-1
2017.03.02.,13,-1,0,0,7,0
2017.03.03.,14,2,0,0,8,0
2017.03.04.,19,4,0,0,8,0
2017.03.05.,13,7,9,0,8,1
2017.03.06.,12,2,1,0,8,1
2017.03.07.,13,0,0,0,8,1
2017.03.08.,15,6,0,0,9,1
2017.03.09.,12,5,1,0,9,1
2017.03.10.,7,4,18,0,9,1
2017.03.11.,12,2,0,0,9,1
2017.03.12.,9,4,0,0,9,1
2017.03.13.,13,2,0,0,9,2
2017.03.14.,12,2,0,0,10,2
2017.03.15.,12,0,0,0,10,2
2017.03.16.,14,1,0,0,11,2
2017.03.17.,14,2,3,0,11,2
2017.03.18.,11,7,10,0,11,2
2017.03.19.,12,6,4,0,11,2
2017.03.20.,16,5,0,0,11,3
2017.03.21.,20,6,0,0,11,3
2017.03.22.,23,9,0,0,12,3
2017.03.23.,22,10,0,0,12,3
2017.03.24.,20,8,0,0,12,3
2017.03.25.,15,8,0,0,12,3
2017.03.26.,13,3,0,0,12,3
2017.03.27.,15,0,0,0,13,3
2017.03.28.,21,1,0,0,13,4
2017.03.29.,22,5,0,0,13,4
2017.03.30.,20,9,0,0,13,4
2017.03.31.,20,6,0,0,13,4
2017.04.01.,22,7,0,0,13,4
