date,tick,export,import,system_load
2016.01.20.,4-5,1203.0,2141.0,4272.0
2016.01.20.,5-6,1319.0,2234.0,4626.0
2016.01.20.,6-7,936.0,2257.0,5438.0
2016.01.20.,7-8,675.0,2125.0,5739.0
2016.01.20.,8-9,507.0,1990.0,5745.0
2016.01.20.,9-10,429.0,1954.0,5757.0
2016.01.20.,10-11,361.0,1906.0,5738.0
2016.01.20.,11-12,362.0,1939.0,5763.0
2016.01.20.,12-13,237.0,1818.0,5755.0
2016.01.20.,13-14,332.0,1838.0,5682.0
2016.01.20.,14-15,388.0,1885.0,5673.0
2016.01.20.,15-16,349.0,1903.0,5763.0
2016.01.20.,16-17,287.0,2068.0,5907.0
2016.01.20.,17-18,265.0,2108.0,6041.0
2016.01.20.,18-19,304.0,2060.0,5963.0
2016.01.20.,19-20,237.0,1868.0,5848.0
2016.01.20.,20-21,431.0,1851.0,5640.0
2016.01.20.,21-22,791.0,2042.0,5430.0
2016.01.20.,22-23,947.0,2281.0,5190.0
2016.01.20.,23-24,1016.0,2258.0,4946.0
2016.01.21.,0-1,1369.0,2278.0,4644.0
2016.01.21.,1-2,1342.0,2159.0,4462.0
2016.01.21.,2-3,1444.0,2104.0,4259.0
2016.01.21.,3-4,1427.0,2035.0,4165.0
2016.01.21.,4-5,1395.0,2063.0,4273.0
2016.01.21.,5-6,1359.0,2092.0,4639.0
2016.01.21.,6-7,922.0,2159.0,5423.0
2016.01.21.,7-8,426.0,1839.0,5715.0
2016.01.21.,8-9,317.0,1765.0,5749.0
2016.01.21.,9-10,261.0,1704.0,5743.0
2016.01.21.,10-11,292.0,1721.0,5736.0
2016.01.21.,11-12,260.0,1740.0,5771.0
2016.01.21.,12-13,258.0,1739.0,5778.0
2016.01.21.,13-14,364.0,1785.0,5726.0
2016.01.21.,14-15,390.0,1792.0,5709.0
2016.01.21.,15-16,342.0,1835.0,5759.0
2016.01.21.,16-17,202.0,1857.0,5843.0
2016.01.21.,17-18,203.0,1967.0,6056.0
2016.01.21.,18-19,223.0,1927.0,5981.0
2016.01.21.,19-20,254.0,1843.0,5874.0
2016.01.21.,20-21,541.0,1910.0,5642.0
2016.01.21.,21-22,981.0,2153.0,5436.0
2016.01.21.,22-23,1107.0,2399.0,5205.0
2016.01.21.,23-24,1150.0,2239.0,4968.0
2016.01.22.,0-1,1245.0,2123.0,4647.0
2016.01.22.,1-2,1257.0,2076.0,4460.0
2016.01.22.,2-3,1245.0,2032.0,4266.0
2016.01.22.,3-4,1259.0,2012.0,4190.0
2016.01.22.,4-5,1247.0,2091.0,4307.0
2016.01.22.,5-6,1255.0,2111.0,4655.0
2016.01.22.,6-7,794.0,2168.0,5444.0
2016.01.22.,7-8,619.0,2205.0,5760.0
2016.01.22.,8-9,485.0,2090.0,5785.0
2016.01.22.,9-10,528.0,2140.0,5787.0
2016.01.22.,10-11,543.0,2131.0,5769.0
2016.01.22.,11-12,561.0,2173.0,5787.0
2016.01.22.,12-13,568.0,2180.0,5756.0
2016.01.22.,13-14,653.0,2252.0,5679.0
2016.01.22.,14-15,670.0,2262.0,5640.0
2016.01.22.,15-16,654.0,2246.0,5688.0
2016.01.22.,16-17,637.0,2305.0,5809.0
2016.01.22.,17-18,607.0,2423.0,6027.0
2016.01.22.,18-19,769.0,2486.0,5900.0
2016.01.22.,19-20,842.0,2458.0,5788.0
2016.01.22.,20-21,961.0,2354.0,5600.0
2016.01.22.,21-22,1035.0,2360.0,5399.0
2016.01.22.,22-23,1088.0,2432.0,5185.0
2016.01.22.,23-24,1127.0,2402.0,4961.0
