date,hour_utc,price
2013-02-06,1,30.95
2013-02-06,2,29.25
2013-02-06,3,28.5
2013-02-06,4,27.8
2013-02-06,5,32.95
2013-02-06,6,40.1
2013-02-06,7,52.01
2013-02-06,8,56.0
2013-02-06,9,53.09
2013-02-06,10,51.06
2013-02-06,11,44.0
2013-02-06,12,45.0
2013-02-06,13,45.03
2013-02-06,14,47.08
2013-02-06,15,49.0
2013-02-06,16,49.33
2013-02-06,17,57.6
2013-02-06,18,62.66
2013-02-06,19,58.4
2013-02-06,20,48.25
2013-02-06,21,38.46
2013-02-06,22,36.9
2013-02-06,23,31.0
2013-02-07,0,34.53
2013-02-07,1,34.06
2013-02-07,2,31.59
2013-02-07,3,30.3
2013-02-07,4,32.09
2013-02-07,5,34.0
2013-02-07,6,45.72
2013-02-07,7,59.22
2013-02-07,8,62.05
2013-02-07,9,59.78
2013-02-07,10,58.87
2013-02-07,11,58.26
2013-02-07,12,55.25
2013-02-07,13,53.45
2013-02-07,14,51.48
2013-02-07,15,51.43
2013-02-07,16,54.04
2013-02-07,17,59.6
2013-02-07,18,68.2
2013-02-07,19,62.5
2013-02-07,20,58.0
2013-02-07,21,40.97
2013-02-07,22,40.87
2013-02-07,23,37.34
2013-02-08,0,35.05
2013-02-08,1,34.75
2013-02-08,2,25.53
2013-02-08,3,25.0
2013-02-08,4,28.0
2013-02-08,5,34.25
2013-02-08,6,45.96
2013-02-08,7,62.32
2013-02-08,8,64.02
2013-02-08,9,60.2
2013-02-08,10,60.02
2013-02-08,11,59.0
2013-02-08,12,55.2
2013-02-08,13,51.98
2013-02-08,14,49.51
2013-02-08,15,49.1
2013-02-08,16,48.6
2013-02-08,17,58.4
2013-02-08,18,61.88
2013-02-08,19,58.96
2013-02-08,20,53.16
2013-02-08,21,39.86
2013-02-08,22,38.68
2013-02-08,23,34.4
2013-02-09,0,37.44
2013-02-09,1,36.98
2013-02-09,2,34.5
2013-02-09,3,34.0
2013-02-09,4,33.65
2013-02-09,5,32.65
2013-02-09,6,32.7
2013-02-09,7,36.25
2013-02-09,8,40.37
2013-02-09,9,45.35
2013-02-09,10,46.85
2013-02-09,11,46.8
2013-02-09,12,44.49
2013-02-09,13,44.66
2013-02-09,14,43.0
2013-02-09,15,42.0
2013-02-09,16,44.0
2013-02-09,17,50.6
2013-02-09,18,59.34
2013-02-09,19,52.0
2013-02-09,20,46.1
2013-02-09,21,40.6
2013-02-09,22,40.56
2013-02-09,23,36.08
2013-02-10,0,33.87
2013-02-10,1,30.37
2013-02-10,2,28.38
2013-02-10,3,27.15
2013-02-10,4,27.31
2013-02-10,5,27.0
2013-02-10,6,24.8
2013-02-10,7,27.0
2013-02-10,8,31.85
2013-02-10,9,34.46
2013-02-10,10,37.04
2013-02-10,11,39.21
2013-02-10,12,38.8
2013-02-10,13,36.1
2013-02-10,14,35.04
2013-02-10,15,35.35
2013-02-10,16,36.5
2013-02-10,17,41.35
2013-02-10,18,48.11
2013-02-10,19,49.94
2013-02-10,20,40.0
2013-02-10,21,35.6
2013-02-10,22,34.45
2013-02-10,23,26.84
2013-02-11,0,20.82
2013-02-11,1,18.51
2013-02-11,2,17.49
2013-02-11,3,15.46
2013-02-11,4,16.43
2013-02-11,5,27.63
2013-02-11,6,37.06
2013-02-11,7,46.0
2013-02-11,8,45.0
2013-02-11,9,46.0
2013-02-11,10,45.0
2013-02-11,11,39.17
2013-02-11,12,40.39
2013-02-11,13,39.72
2013-02-11,14,39.37
2013-02-11,15,39.5
2013-02-11,16,40.0
2013-02-11,17,49.0
2013-02-11,18,54.0
2013-02-11,19,48.04
2013-02-11,20,55.07
2013-02-11,21,37.58
2013-02-11,22,36.0
2013-02-11,23,31.97
2013-02-12,0,36.0
2013-02-12,1,34.4
2013-02-12,2,33.63
2013-02-12,3,32.29
2013-02-12,4,31.68
2013-02-12,5,35.58
2013-02-12,6,46.0
2013-02-12,7,54.98
2013-02-12,8,53.45
2013-02-12,9,54.57
2013-02-12,10,52.12
2013-02-12,11,53.0
2013-02-12,12,52.0
2013-02-12,13,50.71
2013-02-12,14,49.0
2013-02-12,15,49.0
2013-02-12,16,49.31
2013-02-12,17,56.07
2013-02-12,18,65.26
2013-02-12,19,59.95
2013-02-12,20,55.01
2013-02-12,21,45.66
2013-02-12,22,42.43
2013-02-12,23,37.94
2013-02-13,0,28.29
2013-02-13,1,31.0
2013-02-13,2,31.61
2013-02-13,3,28.0
2013-02-13,4,35.81
2013-02-13,5,37.0
2013-02-13,6,46.64
2013-02-13,7,59.0
2013-02-13,8,59.42
2013-02-13,9,61.03
2013-02-13,10,62.0
2013-02-13,11,61.9
2013-02-13,12,59.0
2013-02-13,13,56.0
2013-02-13,14,54.05
2013-02-13,15,53.87
2013-02-13,16,52.99
2013-02-13,17,60.95
2013-02-13,18,73.48
2013-02-13,19,63.34
2013-02-13,20,58.0
2013-02-13,21,47.41
2013-02-13,22,44.24
2013-02-13,23,37.12
2013-02-14,0,36.0
2013-02-14,1,35.07
2013-02-14,2,33.58
2013-02-14,3,32.05
2013-02-14,4,34.72
2013-02-14,5,35.94
2013-02-14,6,44.13
2013-02-14,7,58.1
2013-02-14,8,56.96
2013-02-14,9,54.15
2013-02-14,10,52.22
2013-02-14,11,49.08
2013-02-14,12,48.12
2013-02-14,13,47.91
2013-02-14,14,47.0
2013-02-14,15,46.08
2013-02-14,16,47.0
