date_utc,hour_utc,system_vertical_load_MW
2013-01-23,5,5474
2013-01-23,6,5765
2013-01-23,7,5810
2013-01-23,8,5856
2013-01-23,9,5909
2013-01-23,10,5913
2013-01-23,11,5934
2013-01-23,12,5875
2013-01-23,13,5855
2013-01-23,14,5904
2013-01-23,15,6045
2013-01-23,16,6167
2013-01-23,17,6075
2013-01-23,18,5992
2013-01-23,19,5864
2013-01-23,20,5623
2013-01-23,21,5378
2013-01-23,22,5080
2013-01-23,23,4735
2013-01-24,0,4526
2013-01-24,1,4338
2013-01-24,2,4247
2013-01-24,3,4350
2013-01-24,4,4691
2013-01-24,5,5473
2013-01-24,6,5772
2013-01-24,7,5821
2013-01-24,8,5878
2013-01-24,9,5914
2013-01-24,10,5909
2013-01-24,11,5934
2013-01-24,12,5859
2013-01-24,13,5835
2013-01-24,14,5862
2013-01-24,15,5974
2013-01-24,16,6114
2013-01-24,17,6015
2013-01-24,18,5939
2013-01-24,19,5809
2013-01-24,20,5570
2013-01-24,21,5324
2013-01-24,22,5078
2013-01-24,23,4724
2013-01-25,0,4535
2013-01-25,1,4322
2013-01-25,2,4202
2013-01-25,3,4288
2013-01-25,4,4639
2013-01-25,5,5424
2013-01-25,6,5725
2013-01-25,7,5769
2013-01-25,8,5823
2013-01-25,9,5854
2013-01-25,10,5869
2013-01-25,11,5879
2013-01-25,12,5821
2013-01-25,13,5752
2013-01-25,14,5796
2013-01-25,15,5931
2013-01-25,16,6071
2013-01-25,17,5943
2013-01-25,18,5843
2013-01-25,19,5703
2013-01-25,20,5498
2013-01-25,21,5303
2013-01-25,22,5068
2013-01-25,23,4713
2013-01-26,0,4467
2013-01-26,1,4236
2013-01-26,2,4122
2013-01-26,3,4117
2013-01-26,4,4245
2013-01-26,5,4568
2013-01-26,6,4834
2013-01-26,7,5079
2013-01-26,8,5288
2013-01-26,9,5425
2013-01-26,10,5471
2013-01-26,11,5421
2013-01-26,12,5252
2013-01-26,13,5185
2013-01-26,14,5188
2013-01-26,15,5323
2013-01-26,16,5574
2013-01-26,17,5535
2013-01-26,18,5532
2013-01-26,19,5396
2013-01-26,20,5136
2013-01-26,21,4848
2013-01-26,22,4630
2013-01-26,23,4334
2013-01-27,0,4179
2013-01-27,1,4004
2013-01-27,2,3864
2013-01-27,3,3860
2013-01-27,4,3970
2013-01-27,5,4236
2013-01-27,6,4462
2013-01-27,7,4764
2013-01-27,8,5029
2013-01-27,9,5191
2013-01-27,10,5247
2013-01-27,11,5170
2013-01-27,12,5013
2013-01-27,13,4955
2013-01-27,14,4977
2013-01-27,15,5182
2013-01-27,16,5457
2013-01-27,17,5478
2013-01-27,18,5489
2013-01-27,19,5374
2013-01-27,20,5064
2013-01-27,21,4773
2013-01-27,22,4523
2013-01-27,23,4239
2013-01-28,0,4132
2013-01-28,1,3984
2013-01-28,2,3935
2013-01-28,3,4043
2013-01-28,4,4480
2013-01-28,5,5337
2013-01-28,6,5646
2013-01-28,7,5736
2013-01-28,8,5809
2013-01-28,9,5853
2013-01-28,10,5866
2013-01-28,11,5866
2013-01-28,12,5818
2013-01-28,13,5813
2013-01-28,14,5848
2013-01-28,15,5918
2013-01-28,16,6080
2013-01-28,17,5995
2013-01-28,18,5915
2013-01-28,19,5801
2013-01-28,20,5570
2013-01-28,21,5317
2013-01-28,22,5039
2013-01-28,23,4688
2013-01-29,0,4493
2013-01-29,1,4282
2013-01-29,2,4209
2013-01-29,3,4320
2013-01-29,4,4679
2013-01-29,5,5504
2013-01-29,6,5769
2013-01-29,7,5817
2013-01-29,8,5843
2013-01-29,9,5839
2013-01-29,10,5845
2013-01-29,11,5882
2013-01-29,12,5843
2013-01-29,13,5808
2013-01-29,14,5837
2013-01-29,15,5931
2013-01-29,16,6090
2013-01-29,17,6021
2013-01-29,18,5934
2013-01-29,19,5796
2013-01-29,20,5572
2013-01-29,21,5323
2013-01-29,22,5059
2013-01-29,23,4688
2013-01-30,0,4476
2013-01-30,1,4253
2013-01-30,2,4145
2013-01-30,3,4252
2013-01-30,4,4621
2013-01-30,5,5426
2013-01-30,6,5733
2013-01-30,7,5774
2013-01-30,8,5824
2013-01-30,9,5859
2013-01-30,10,5852
2013-01-30,11,5846
2013-01-30,12,5743
2013-01-30,13,5699
2013-01-30,14,5741
2013-01-30,15,5837
2013-01-30,16,6007
2013-01-30,17,5951
2013-01-30,18,5857
2013-01-30,19,5740
2013-01-30,20,5496
2013-01-30,21,5232
2013-01-30,22,4974
2013-01-30,23,4617
2013-01-31,0,4410
2013-01-31,1,4198
2013-01-31,2,4093
2013-01-31,3,4182
2013-01-31,4,4546
2013-01-31,5,5340
2013-01-31,6,5585
2013-01-31,7,5578
2013-01-31,8,5590
2013-01-31,9,5606
2013-01-31,10,5604
2013-01-31,11,5595
2013-01-31,12,5500
2013-01-31,13,5479
2013-01-31,14,5500
2013-01-31,15,5603
2013-01-31,16,5823
2013-01-31,17,5805
2013-01-31,18,5765
2013-01-31,19,5640
2013-01-31,20,5416
2013-01-31,21,5164
2013-01-31,22,4885
2013-01-31,23,4533
2013-02-01,0,4327
2013-02-01,1,4131
2013-02-01,2,4035
2013-02-01,3,4131
2013-02-01,4,4494
2013-02-01,5,5248
2013-02-01,6,5503
2013-02-01,7,5533
2013-02-01,8,5537
2013-02-01,9,5535
2013-02-01,10,5538
2013-02-01,11,5575
2013-02-01,12,5529
2013-02-01,13,5505
2013-02-01,14,5535
2013-02-01,15,5641
2013-02-01,16,5830
2013-02-01,17,5744
2013-02-01,18,5642
2013-02-01,19,5515
2013-02-01,20,5310
2013-02-01,21,5106
2013-02-01,22,4833
2013-02-01,23,4486
2013-02-02,0,4245
2013-02-02,1,4031
2013-02-02,2,3911
2013-02-02,3,3927
2013-02-02,4,4033
2013-02-02,5,4348
2013-02-02,6,4611
2013-02-02,7,4890
2013-02-02,8,5134
2013-02-02,9,5337
2013-02-02,10,5460
2013-02-02,11,5415
2013-02-02,12,5228
2013-02-02,13,5173
2013-02-02,14,5120
2013-02-02,15,5204
2013-02-02,16,5370
2013-02-02,17,5355
2013-02-02,18,5353
2013-02-02,19,5199
2013-02-02,20,4922
2013-02-02,21,4663
2013-02-02,22,4444
2013-02-02,23,4023
2013-02-03,0,3951
2013-02-03,1,3783
2013-02-03,2,3642
2013-02-03,3,3634
2013-02-03,4,3729
2013-02-03,5,3989
2013-02-03,6,4273
2013-02-03,7,4588
2013-02-03,8,4879
2013-02-03,9,5078
2013-02-03,10,5167
2013-02-03,11,5064
2013-02-03,12,4849
2013-02-03,13,4726
2013-02-03,14,4663
2013-02-03,15,4768
2013-02-03,16,5245
2013-02-03,17,5293
2013-02-03,18,5320
2013-02-03,19,5280
2013-02-03,20,5098
2013-02-03,21,4763
2013-02-03,22,4529
2013-02-03,23,4252
2013-02-04,0,4200
2013-02-04,1,4058
2013-02-04,2,3937
2013-02-04,3,4014
2013-02-04,4,4386
2013-02-04,5,5270
2013-02-04,6,5596
2013-02-04,7,5663
2013-02-04,8,5710
2013-02-04,9,5760
2013-02-04,10,5804
2013-02-04,11,5820
2013-02-04,12,5717
2013-02-04,13,5665
2013-02-04,14,5693
2013-02-04,15,5737
2013-02-04,16,5911
2013-02-04,17,5862
2013-02-04,18,5815
2013-02-04,19,5689
2013-02-04,20,5474
2013-02-04,21,5196
2013-02-04,22,4897
2013-02-04,23,4535
2013-02-05,0,4322
2013-02-05,1,4122
2013-02-05,2,4038
2013-02-05,3,4132
2013-02-05,4,4499
2013-02-05,5,5279
2013-02-05,6,5561
2013-02-05,7,5622
2013-02-05,8,5671
2013-02-05,9,5692
2013-02-05,10,5711
2013-02-05,11,5734
2013-02-05,12,5680
2013-02-05,13,5672
2013-02-05,14,5705
2013-02-05,15,5760
2013-02-05,16,5905
2013-02-05,17,5857
2013-02-05,18,5787
2013-02-05,19,5651
2013-02-05,20,5403
2013-02-05,21,5163
2013-02-05,22,4905
2013-02-05,23,4569
2013-02-06,0,4363
2013-02-06,1,4159
2013-02-06,2,4071
2013-02-06,3,4175
2013-02-06,4,4538
2013-02-06,5,5333
2013-02-06,6,5656
2013-02-06,7,5734
2013-02-06,8,5783
2013-02-06,9,5816
2013-02-06,10,5834
2013-02-06,11,5832
2013-02-06,12,5751
2013-02-06,13,5722
2013-02-06,14,5734
2013-02-06,15,5793
2013-02-06,16,5948
2013-02-06,17,5884
2013-02-06,18,5825
2013-02-06,19,5705
2013-02-06,20,5494
2013-02-06,21,5258
2013-02-06,22,5009
2013-02-06,23,4639
2013-02-07,0,4424
2013-02-07,1,4207
2013-02-07,2,4113
2013-02-07,3,4208
2013-02-07,4,4550
2013-02-07,5,5318
2013-02-07,6,5622
2013-02-07,7,5686
2013-02-07,8,5756
2013-02-07,9,5800
2013-02-07,10,5815
2013-02-07,11,5832
2013-02-07,12,5782
2013-02-07,13,5738
2013-02-07,14,5750
2013-02-07,15,5743
2013-02-07,16,5938
2013-02-07,17,5932
2013-02-07,18,5889
2013-02-07,19,5759
2013-02-07,20,5537
2013-02-07,21,5289
2013-02-07,22,5029
2013-02-07,23,4664
2013-02-08,0,4469
2013-02-08,1,4255
2013-02-08,2,4155
2013-02-08,3,4242
2013-02-08,4,4602
2013-02-08,5,5342
2013-02-08,6,5609
2013-02-08,7,5638
2013-02-08,8,5662
2013-02-08,9,5672
2013-02-08,10,5652
2013-02-08,11,5658
2013-02-08,12,5576
2013-02-08,13,5532
2013-02-08,14,5576
2013-02-08,15,5625
2013-02-08,16,5844
2013-02-08,17,5828
2013-02-08,18,5741
2013-02-08,19,5619
2013-02-08,20,5428
2013-02-08,21,5221
2013-02-08,22,4953
2013-02-08,23,4615
2013-02-09,0,4375
2013-02-09,1,4145
2013-02-09,2,4005
2013-02-09,3,3997
2013-02-09,4,4111
2013-02-09,5,4402
2013-02-09,6,4693
2013-02-09,7,4945
2013-02-09,8,5141
2013-02-09,9,5275
2013-02-09,10,5332
2013-02-09,11,5302
2013-02-09,12,5186
2013-02-09,13,5155
2013-02-09,14,5150
2013-02-09,15,5208
2013-02-09,16,5436
2013-02-09,17,5470
2013-02-09,18,5449
2013-02-09,19,5276
2013-02-09,20,4984
2013-02-09,21,4715
2013-02-09,22,4468
2013-02-09,23,4258
2013-02-10,0,4129
2013-02-10,1,3927
2013-02-10,2,3791
2013-02-10,3,3799
2013-02-10,4,3902
2013-02-10,5,4142
2013-02-10,6,4387
2013-02-10,7,4679
2013-02-10,8,4946
2013-02-10,9,5105
2013-02-10,10,5184
2013-02-10,11,5114
2013-02-10,12,4978
2013-02-10,13,4911
2013-02-10,14,4880
2013-02-10,15,4995
2013-02-10,16,5305
2013-02-10,17,5408
2013-02-10,18,5452
2013-02-10,19,5354
2013-02-10,20,5059
2013-02-10,21,4757
2013-02-10,22,4502
2013-02-10,23,4220
2013-02-11,0,4115
2013-02-11,1,3928
2013-02-11,2,3866
2013-02-11,3,3995
2013-02-11,4,4425
2013-02-11,5,5289
2013-02-11,6,5607
2013-02-11,7,5693
2013-02-11,8,5733
2013-02-11,9,5755
2013-02-11,10,5730
2013-02-11,11,5735
2013-02-11,12,5680
2013-02-11,13,5648
2013-02-11,14,5686
2013-02-11,15,5710
2013-02-11,16,5941
2013-02-11,17,5985
2013-02-11,18,5908
2013-02-11,19,5785
2013-02-11,20,5551
2013-02-11,21,5291
2013-02-11,22,5021
2013-02-11,23,4677
2013-02-12,0,4475
2013-02-12,1,4260
2013-02-12,2,4155
2013-02-12,3,4271
2013-02-12,4,4657
2013-02-12,5,5398
2013-02-12,6,5667
2013-02-12,7,5726
2013-02-12,8,5769
2013-02-12,9,5820
2013-02-12,10,5829
2013-02-12,11,5841
2013-02-12,12,5781
2013-02-12,13,5776
2013-02-12,14,5794
2013-02-12,15,5808
2013-02-12,16,5997
2013-02-12,17,6025
2013-02-12,18,5924
2013-02-12,19,5787
2013-02-12,20,5536
2013-02-12,21,5289
2013-02-12,22,5011
2013-02-12,23,4643
2013-02-13,0,4438
2013-02-13,1,4219
2013-02-13,2,4124
2013-02-13,3,4236
2013-02-13,4,4609
2013-02-13,5,5374
2013-02-13,6,5647
2013-02-13,7,5686
2013-02-13,8,5716
2013-02-13,9,5763
2013-02-13,10,5776
2013-02-13,11,5800
2013-02-13,12,5771
2013-02-13,13,5726
2013-02-13,14,5768
2013-02-13,15,5774
2013-02-13,16,5966
2013-02-13,17,5992
2013-02-13,18,5903
2013-02-13,19,5770
2013-02-13,20,5544
2013-02-13,21,5282
2013-02-13,22,5008
2013-02-13,23,4648
2013-02-14,0,4459
2013-02-14,1,4243
2013-02-14,2,4143
2013-02-14,3,4259
2013-02-14,4,4604
2013-02-14,5,5365
2013-02-14,6,5674
2013-02-14,7,5733
2013-02-14,8,5797
2013-02-14,9,5856
2013-02-14,10,5876
2013-02-14,11,5878
2013-02-14,12,5823
2013-02-14,13,5761
2013-02-14,14,5810
2013-02-14,15,5823
2013-02-14,16,5962
2013-02-14,17,5961
2013-02-14,18,5873
2013-02-14,19,5742
2013-02-14,20,5526
2013-02-14,21,5271
2013-02-14,22,5004
2013-02-14,23,4655
2013-02-15,0,4458
2013-02-15,1,4238
2013-02-15,2,4139
2013-02-15,3,4236
2013-02-15,4,4579
2013-02-15,5,5297
2013-02-15,6,5620
2013-02-15,7,5704
2013-02-15,8,5746
2013-02-15,9,5764
2013-02-15,10,5746
2013-02-15,11,5732
2013-02-15,12,5640
2013-02-15,13,5594
2013-02-15,14,5624
2013-02-15,15,5657
2013-02-15,16,5817
2013-02-15,17,5836
2013-02-15,18,5738
2013-02-15,19,5605
2013-02-15,20,5407
2013-02-15,21,5176
2013-02-15,22,4925
2013-02-15,23,4590
2013-02-16,0,4357
2013-02-16,1,4124
2013-02-16,2,4005
2013-02-16,3,4012
2013-02-16,4,4137
2013-02-16,5,4419
2013-02-16,6,4706
2013-02-16,7,4947
2013-02-16,8,5123
2013-02-16,9,5208
2013-02-16,10,5225
2013-02-16,11,5186
2013-02-16,12,5028
2013-02-16,13,4958
2013-02-16,14,4937
2013-02-16,15,4973
2013-02-16,16,5261
2013-02-16,17,5419
2013-02-16,18,5414
2013-02-16,19,5232
2013-02-16,20,4935
2013-02-16,21,4673
2013-02-16,22,4444
2013-02-16,23,4192
2013-02-17,0,4048
2013-02-17,1,3834
2013-02-17,2,3727
2013-02-17,3,3726
2013-02-17,4,3816
2013-02-17,5,4022
2013-02-17,6,4313
2013-02-17,7,4618
2013-02-17,8,4874
2013-02-17,9,5059
2013-02-17,10,5106
2013-02-17,11,5043
2013-02-17,12,4892
2013-02-17,13,4842
2013-02-17,14,4829
2013-02-17,15,4883
2013-02-17,16,5182
2013-02-17,17,5361
2013-02-17,18,5407
2013-02-17,19,5275
2013-02-17,20,4974
2013-02-17,21,4664
2013-02-17,22,4417
2013-02-17,23,4110
2013-02-18,0,3982
2013-02-18,1,3833
2013-02-18,2,3767
2013-02-18,3,3884
2013-02-18,4,4319
2013-02-18,5,5188
2013-02-18,6,5512
