date,tick,export,import,system_load
2016.01.14.,23-24,1201,2405,4799
2016.01.15.,0-1,1381,2265,4470
2016.01.15.,1-2,1299,2206,4283
2016.01.15.,2-3,1296,2084,4079
2016.01.15.,3-4,1262,2003,3996
2016.01.15.,4-5,1206,2025,4119
2016.01.15.,5-6,1176,2137,4475
2016.01.15.,6-7,850,2071,5243
2016.01.15.,7-8,806,2180,5562
2016.01.15.,8-9,707,2127,5584
2016.01.15.,9-10,626,2095,5638
2016.01.15.,10-11,568,2097,5687
2016.01.15.,11-12,524,2114,5747
2016.01.15.,12-13,514,2072,5740
2016.01.15.,13-14,508,1950,5656
2016.01.15.,14-15,530,1900,5596
2016.01.15.,15-16,530,1946,5621
2016.01.15.,16-17,449,2004,5746
2016.01.15.,17-18,443,2047,5841
2016.01.15.,18-19,562,2045,5710
2016.01.15.,19-20,600,2018,5578
2016.01.15.,20-21,748,1950,5379
2016.01.15.,21-22,886,2036,5198
2016.01.15.,22-23,854,2307,4990
2016.01.15.,23-24,905,2215,4764
2016.01.16.,0-1,872,2141,4428
2016.01.16.,1-2,962,2133,4236
2016.01.16.,2-3,891,1856,4033
2016.01.16.,3-4,867,1747,3919
2016.01.16.,4-5,835,1735,3951
2016.01.16.,5-6,919,1940,4052
2016.01.16.,6-7,891,2089,4386
2016.01.16.,7-8,957,2269,4674
2016.01.16.,8-9,826,2279,4907
2016.01.16.,9-10,758,2359,5081
2016.01.16.,10-11,769,2282,5154
2016.01.16.,11-12,668,2297,5241
2016.01.16.,12-13,727,2332,5214
2016.01.16.,13-14,799,2352,5065
2016.01.16.,14-15,894,2349,4979
2016.01.16.,15-16,871,2321,4987
2016.01.16.,16-17,758,2239,5189
2016.01.16.,17-18,660,2217,5353
2016.01.16.,18-19,687,2209,5282
2016.01.16.,19-20,706,2180,5202
2016.01.16.,20-21,796,2316,5023
2016.01.16.,21-22,850,2374,4818
2016.01.16.,22-23,957,2280,4587
2016.01.16.,23-24,1089,2210,4360
2016.01.17.,0-1,1087,2110,4059
2016.01.17.,1-2,1175,2123,3935
2016.01.17.,2-3,1158,1901,3736
2016.01.17.,3-4,1099,1747,3646
2016.01.17.,4-5,1082,1756,3655
2016.01.17.,5-6,1078,1829,3707
2016.01.17.,6-7,1092,1990,3922
2016.01.17.,7-8,980,2118,4169
2016.01.17.,8-9,935,2351,4487
2016.01.17.,9-10,857,2523,4749
2016.01.17.,10-11,855,2696,4928
2016.01.17.,11-12,842,2699,5016
2016.01.17.,12-13,843,2582,4926
2016.01.17.,13-14,954,2592,4771
2016.01.17.,14-15,967,2500,4699
2016.01.17.,15-16,854,2419,4704
2016.01.17.,16-17,840,2583,4927
2016.01.17.,17-18,844,2574,5204
2016.01.17.,18-19,821,2539,5196
2016.01.17.,19-20,869,2544,5177
2016.01.17.,20-21,940,2489,5020
2016.01.17.,21-22,975,2469,4818
2016.01.17.,22-23,969,2274,4598
2016.01.17.,23-24,998,2106,4363
2016.01.18.,0-1,869,1718,4108
2016.01.18.,1-2,979,1724,4012
2016.01.18.,2-3,970,1552,3852
2016.01.18.,3-4,1026,1502,3753
2016.01.18.,4-5,991,1607,3907
2016.01.18.,5-6,838,1770,4343
2016.01.18.,6-7,739,2004,5252
2016.01.18.,7-8,593,1941,5575
2016.01.18.,8-9,424,1904,5596
2016.01.18.,9-10,430,1995,5606
2016.01.18.,10-11,466,2069,5589
2016.01.18.,11-12,470,2126,5616
2016.01.18.,12-13,399,2039,5647
2016.01.18.,13-14,449,2016,5576
2016.01.18.,14-15,550,2106,5560
2016.01.18.,15-16,505,2079,5629
2016.01.18.,16-17,378,2104,5778
2016.01.18.,17-18,395,2198,5963
2016.01.18.,18-19,382,2119,5881
2016.01.18.,19-20,455,2086,5791
2016.01.18.,20-21,781,2323,5594
2016.01.18.,21-22,974,2491,5364
2016.01.18.,22-23,956,2609,5108
2016.01.18.,23-24,998,2627,4875
2016.01.19.,0-1,978,2404,4562
2016.01.19.,1-2,948,2258,4384
2016.01.19.,2-3,1027,2156,4194
2016.01.19.,3-4,999,2039,4114
2016.01.19.,4-5,963,2081,4221
2016.01.19.,5-6,986,2258,4606
2016.01.19.,6-7,856,2384,5429
2016.01.19.,7-8,802,2325,5719
2016.01.19.,8-9,686,2262,5754
2016.01.19.,9-10,654,2254,5786
2016.01.19.,10-11,702,2346,5797
2016.01.19.,11-12,721,2445,5814
2016.01.19.,12-13,630,2351,5807
2016.01.19.,13-14,661,2300,5744
2016.01.19.,14-15,719,2316,5727
2016.01.19.,15-16,719,2385,5783
2016.01.19.,16-17,470,2300,5919
2016.01.19.,17-18,324,2212,6058
2016.01.19.,18-19,416,2209,5973
2016.01.19.,19-20,640,2307,5869
2016.01.19.,20-21,797,2236,5632
2016.01.19.,21-22,898,2257,5402
2016.01.19.,22-23,925,2416,5162
2016.01.19.,23-24,1003,2407,4924
2016.01.20.,0-1,1083,2312,4620
2016.01.20.,1-2,1145,2229,4434
2016.01.20.,2-3,1262,2184,4254
2016.01.20.,3-4,1256,2133,4157
2016.01.20.,4-5,1203,2141,4272
2016.01.20.,5-6,1319,2234,4626
2016.01.20.,6-7,936,2257,5438
2016.01.20.,7-8,675,2125,5739
2016.01.20.,8-9,507,1990,5745
2016.01.20.,9-10,429,1954,5757
2016.01.20.,10-11,361,1906,5738
2016.01.20.,11-12,362,1939,5763
2016.01.20.,12-13,237,1818,5755
2016.01.20.,13-14,332,1838,5682
2016.01.20.,14-15,388,1885,5673
2016.01.20.,15-16,349,1903,5763
2016.01.20.,16-17,287,2068,5907
2016.01.20.,17-18,265,2108,6041
2016.01.20.,18-19,304,2060,5963
2016.01.20.,19-20,237,1868,5848
2016.01.20.,20-21,431,1851,5640
2016.01.20.,21-22,791,2042,5430
2016.01.20.,22-23,947,2281,5190
2016.01.20.,23-24,1016,2258,4946
2016.01.21.,0-1,1369,2278,4644
2016.01.21.,1-2,1342,2159,4462
2016.01.21.,2-3,1444,2104,4259
2016.01.21.,3-4,1427,2035,4165
2016.01.21.,4-5,1395,2063,4273
2016.01.21.,5-6,1359,2092,4639
2016.01.21.,6-7,922,2159,5423
2016.01.21.,7-8,426,1839,5715
2016.01.21.,8-9,317,1765,5749
2016.01.21.,9-10,261,1704,5743
2016.01.21.,10-11,292,1721,5736
2016.01.21.,11-12,260,1740,5771
2016.01.21.,12-13,258,1739,5778
2016.01.21.,13-14,364,1785,5726
2016.01.21.,14-15,390,1792,5709
2016.01.21.,15-16,342,1835,5759
2016.01.21.,16-17,202,1857,5843
2016.01.21.,17-18,203,1967,6056
2016.01.21.,18-19,223,1927,5981
2016.01.21.,19-20,254,1843,5874
2016.01.21.,20-21,541,1910,5642
2016.01.21.,21-22,981,2153,5436
2016.01.21.,22-23,1107,2399,5205
2016.01.21.,23-24,1150,2239,4968
2016.01.22.,0-1,1245,2123,4647
2016.01.22.,1-2,1257,2076,4460
2016.01.22.,2-3,1245,2032,4266
2016.01.22.,3-4,1259,2012,4190
2016.01.22.,4-5,1247,2091,4307
2016.01.22.,5-6,1255,2111,4655
2016.01.22.,6-7,794,2168,5444
2016.01.22.,7-8,619,2205,5760
2016.01.22.,8-9,485,2090,5785
2016.01.22.,9-10,528,2140,5787
2016.01.22.,10-11,543,2131,5769
2016.01.22.,11-12,561,2173,5787
2016.01.22.,12-13,568,2180,5756
2016.01.22.,13-14,653,2252,5679
2016.01.22.,14-15,670,2262,5640
2016.01.22.,15-16,654,2246,5688
2016.01.22.,16-17,637,2305,5809
2016.01.22.,17-18,607,2423,6027
